Date,Close/Last,Volume,Open,High,Low
8/23/2023,$40.18 ,2112139,$39.56 ,$40.19 ,$39.39 
8/22/2023,$39.48 ,2502739,$40.68 ,$40.69 ,$39.24 
8/21/2023,$39.01 ,4053484,$38.51 ,$39.60 ,$38.13 
8/18/2023,$38.23 ,2520479,$37.21 ,$39.25 ,$37.07 
8/17/2023,$37.82 ,2300786,$38.62 ,$38.87 ,$37.44 
8/16/2023,$39.05 ,2437036,$39.40 ,$39.65 ,$38.63 
8/15/2023,$39.63 ,2374522,$39.69 ,$40.04 ,$38.53 
8/14/2023,$39.75 ,3657377,$38.40 ,$40.00 ,$38.30 
8/11/2023,$38.89 ,6993145,$37.20 ,$39.57 ,$37.11 
8/10/2023,$37.20 ,19545560,$38.32 ,$38.96 ,$33.17 
8/9/2023,$29.41 ,4990638,$30.03 ,$30.19 ,$28.99 
8/8/2023,$30.05 ,1966355,$30.07 ,$30.32 ,$29.60 
8/7/2023,$30.78 ,2225073,$31.44 ,$31.48 ,$30.23 
8/4/2023,$31.36 ,3167201,$31.10 ,$31.97 ,$31.03 
8/3/2023,$30.59 ,1267334,$31.00 ,$31.19 ,$30.35 
8/2/2023,$31.16 ,2419536,$30.57 ,$31.38 ,$29.76 
8/1/2023,$31.43 ,1471764,$31.14 ,$32.03 ,$30.87 
7/31/2023,$31.40 ,1526470,$31.31 ,$31.89 ,$31.17 
7/28/2023,$31.26 ,2014284,$30.73 ,$31.33 ,$30.48 
7/27/2023,$29.98 ,2646264,$30.59 ,$31.10 ,$29.95 
7/26/2023,$29.94 ,1880330,$28.19 ,$29.98 ,$28.19 
7/25/2023,$28.64 ,1323419,$28.40 ,$28.93 ,$28.39 
7/24/2023,$28.15 ,1442209,$29.50 ,$29.50 ,$27.96 
7/21/2023,$28.10 ,1094858,$28.48 ,$28.51 ,$27.97 
7/20/2023,$28.03 ,2525406,$28.07 ,$28.18 ,$27.32 
7/19/2023,$28.57 ,1518992,$28.60 ,$29.13 ,$28.13 
7/18/2023,$28.31 ,1215434,$28.70 ,$28.76 ,$28.27 
7/17/2023,$28.46 ,1072224,$28.30 ,$28.72 ,$27.86 
7/14/2023,$28.15 ,1113000,$28.98 ,$29.13 ,$28.08 
7/13/2023,$28.99 ,2518757,$28.55 ,$29.25 ,$28.33 
7/12/2023,$28.30 ,1504840,$28.50 ,$28.56 ,$27.85 
7/11/2023,$28.09 ,2805186,$27.22 ,$28.59 ,$26.92 
7/10/2023,$27.08 ,1999867,$25.83 ,$27.14 ,$25.82 
7/7/2023,$25.99 ,1505216,$25.76 ,$26.54 ,$25.73 
7/6/2023,$25.55 ,1879160,$26.02 ,$26.12 ,$25.24 
7/5/2023,$26.56 ,1757139,$25.79 ,$26.65 ,$25.79 
7/3/2023,$25.92 ,759170,$25.65 ,$26.00 ,$25.54 
6/30/2023,$25.73 ,2091404,$26.04 ,$26.32 ,$25.70 
6/29/2023,$25.57 ,1486899,$25.70 ,$25.76 ,$25.11 
6/28/2023,$25.71 ,2181635,$25.92 ,$26.62 ,$25.67 
6/27/2023,$26.04 ,2516401,$24.52 ,$26.16 ,$24.52 
6/26/2023,$24.19 ,1800173,$23.49 ,$24.70 ,$23.48 
6/23/2023,$23.39 ,4326602,$23.30 ,$23.51 ,$22.85 
6/22/2023,$23.70 ,1333127,$23.22 ,$23.77 ,$22.95 
6/21/2023,$23.35 ,1782338,$23.63 ,$23.79 ,$23.18 
6/20/2023,$23.58 ,2908173,$23.69 ,$24.30 ,$23.22 
6/16/2023,$23.97 ,7120427,$23.30 ,$24.43 ,$23.09 
6/15/2023,$23.21 ,2227959,$22.19 ,$23.46 ,$22.11 
6/14/2023,$22.50 ,2264313,$22.51 ,$22.78 ,$21.87 
6/13/2023,$22.52 ,2016800,$22.71 ,$23.12 ,$22.19 
6/12/2023,$22.38 ,2137874,$22.83 ,$22.83 ,$22.16 
6/9/2023,$22.66 ,1962993,$22.39 ,$23.51 ,$22.35 
6/8/2023,$22.49 ,3651241,$21.44 ,$22.86 ,$21.33 
6/7/2023,$21.54 ,6511171,$23.58 ,$23.70 ,$21.04 
6/6/2023,$23.30 ,4938258,$25.65 ,$25.72 ,$23.24 
6/5/2023,$25.60 ,3630009,$24.79 ,$25.79 ,$24.19 
6/2/2023,$24.81 ,2718352,$25.04 ,$25.65 ,$24.61 
6/1/2023,$24.83 ,1908866,$24.51 ,$25.00 ,$24.13 
5/31/2023,$25.01 ,3578260,$23.99 ,$25.18 ,$23.88 
5/30/2023,$24.23 ,2196354,$24.61 ,$24.91 ,$24.12 
5/26/2023,$24.05 ,1772205,$24.14 ,$24.49 ,$23.87 
5/25/2023,$24.05 ,1905426,$24.93 ,$25.08 ,$23.65 
5/24/2023,$24.43 ,1749025,$24.39 ,$24.85 ,$24.23 
5/23/2023,$24.81 ,1819578,$24.93 ,$25.50 ,$24.72 
5/22/2023,$25.09 ,3246945,$25.17 ,$25.34 ,$24.54 
5/19/2023,$25.12 ,2217863,$25.08 ,$25.24 ,$24.70 
5/18/2023,$25.08 ,4548185,$24.43 ,$25.20 ,$24.28 
5/17/2023,$24.38 ,5482287,$24.37 ,$25.01 ,$24.05 
5/16/2023,$22.88 ,2594367,$22.50 ,$23.11 ,$22.08 
5/15/2023,$22.63 ,3835143,$21.55 ,$22.93 ,$21.37 
